"Rank","Country","Total Value Index","Classification"
55,"Seychelles","0.67","Deficient Democracy"
56,"South Africa","0.665","Deficient Democracy"
57,"Namibia","0.657","Deficient Democracy"
58,"Senegal","0.655","Deficient Democracy"
59,"Benin","0.642","Deficient Democracy"
60,"Mongolia","0.641","Deficient Democracy"
61,"Bhutan","0.635","Hybrid Regime"
62,"Guyana","0.618","Deficient Democracy"
63,"Ghana","0.618","Hybrid Regime"
64,"The Gambia","0.614","Hybrid Regime"
65,"Burkina Faso","0.608","Hybrid Regime"
66,"Malawi","0.607","Hybrid Regime"
67,"Sri Lanka","0.603","Hybrid Regime"
68,"Indonesia","0.601","Hybrid Regime"
69,"Hungary","0.597","Deficient Democracy"
70,"Timor-Leste","0.595","Hybrid Regime"
71,"Nepal","0.595","Deficient Democracy"
72,"Hong Kong","0.588","Hybrid Regime"
73,"Côte d'Ivoire","0.579","Hybrid Regime"
74,"Mexico","0.579","Hybrid Regime"
75,"Moldova","0.575","Hybrid Regime"
76,"Brazil","0.574","Hybrid Regime"
77,"Tanzania","0.571","Deficient Democracy"
78,"Lesotho","0.566","Hybrid Regime"
79,"India","0.565","Deficient Democracy"
80,"Bolivia","0.565","Hybrid Regime"
81,"Fiji","0.563","Deficient Democracy"
82,"Ecuador","0.561","Hybrid Regime"
83,"Niger","0.558","Hybrid Regime"
84,"Albania","0.554","Hybrid Regime"
85,"Solomon Islands","0.552","Hybrid Regime"
86,"Nigeria","0.551","Hybrid Regime"
87,"Bosnia and Herzegovina","0.551","Hybrid Regime"
88,"Romania","0.543","Hybrid Regime"
89,"Kosovo","0.539","Hybrid Regime"
90,"Macedonia","0.536","Hybrid Regime"
91,"Malaysia","0.535","Hybrid Regime"
92,"Colombia","0.535","Hybrid Regime"
93,"Sierra Leone","0.534","Hybrid Regime"
94,"Singapore","0.533","Hybrid Regime"
95,"Kyrgyzstan","0.532","Hybrid Regime"
96,"Paraguay","0.524","Hybrid Regime"
97,"Montenegro","0.518","Hybrid Regime"
98,"Liberia","0.511","Hybrid Regime"
99,"El Salvador","0.506","Hybrid Regime"
100,"Mozambique","0.486","Hybrid Regime"
101,"Morocco","0.476","Hybrid Regime"
102,"Kuwait","0.475","Hybrid Regime"
103,"Burma/Myanmar","0.464","Hybrid Regime"
104,"Serbia","0.461","Hybrid Regime"
105,"Lebanon","0.459","Hybrid Regime"
106,"Kenya","0.457","Hybrid Regime"
107,"Mali","0.449","Hybrid Regime"
108,"Guatemala","0.449","Hybrid Regime"
109,"Gabon","0.441","Hybrid Regime"
110,"Philippines","0.44","Hybrid Regime"
111,"Uganda","0.438","Hybrid Regime"
112,"Zambia","0.436","Hybrid Regime"
113,"Jordan","0.432","Hybrid Regime"
114,"Papua New Guinea","0.431","Autocracy"
115,"Dominican Republic","0.428","Hybrid Regime"
116,"Madagascar","0.415","Hybrid Regime"
117,"Somaliland","0.415","Autocracy"
118,"Iraq","0.409","Hybrid Regime"
119,"Guinea-Bissau","0.398","Hybrid Regime"
120,"Ukraine","0.397","Hybrid Regime"
121,"Comoros","0.392","Hybrid Regime"
122,"Central African Republic","0.387","Hybrid Regime"
123,"Honduras","0.37","Autocracy"
124,"Pakistan","0.362","Hybrid Regime"
125,"Angola","0.353","Autocracy"
126,"Rwanda","0.352","Autocracy"
127,"Maldives","0.349","Hybrid Regime"
128,"Togo","0.342","Hybrid Regime"
129,"Afghanistan","0.334","Autocracy"
130,"Ethiopia","0.324","Autocracy"
131,"Zanzibar","0.322","Autocracy"
132,"Algeria","0.321","Hybrid Regime"
133,"Guinea","0.308","Hybrid Regime"
134,"Turkey","0.297","Autocracy"
135,"Mauritania","0.297","Autocracy"
136,"Swaziland","0.296","Autocracy"
137,"Djibouti","0.294","Autocracy"
138,"Haiti","0.289","Autocracy"
139,"Zimbabwe","0.285","Autocracy"
140,"Russia","0.268","Autocracy"
141,"Vietnam, Democratic Republic","0.267","Autocracy"
142,"Belarus","0.262","Autocracy"
143,"Iran","0.259","Autocracy"
144,"Cameroon","0.247","Autocracy"
145,"Congo, Democratic Republic","0.243","Autocracy"
146,"Congo, Republic","0.239","Autocracy"
147,"Oman","0.236","Autocracy"
148,"Kazakhstan","0.226","Autocracy"
149,"Sudan","0.21","Autocracy"
150,"Egypt","0.209","Autocracy"
151,"Chad","0.188","Autocracy"
152,"Cambodia","0.185","Autocracy"
153,"Uzbekistan","0.177","Autocracy"
154,"United Arab Emirates","0.175","Autocracy"
155,"Thailand","0.17","Autocracy"
156,"Cuba","0.159","Autocracy"
157,"Venezuela","0.141","Autocracy"
158,"Tajikistan","0.114","Autocracy"
159,"Azerbaijan","0.112","Autocracy"
160,"Laos","0.105","Autocracy"
161,"Equatorial Guinea","0.101","Autocracy"
162,"Turkmenistan","0.1","Autocracy"
163,"North Korea","0.036","Autocracy"
164,"Burundi","O","Autocracy"
165,"China","O","Autocracy"
166,"Eritrea","O","Autocracy"
167,"Libya","O","Autocracy"
168,"Palestine/Gaza","O","Autocracy"
169,"Palestine/West Bank","O","Hybrid Regime"
170,"Qatar","O","Autocracy"
171,"Saudi Arabia","O","Autocracy"
172,"Somalia","O","Autocracy"
173,"South Sudan","O","Autocracy"
174,"Syria","O","Autocracy"
175,"Yemen","O","Autocracy"
