"Rang","Land","Gesamtwertindex","Klassifikation"
83,"Niger","0.586","Hybrides Regime"
84,"Nigeria","0.585","Hybrides Regime"
85,"Salomon-Inseln","0.582","Hybrides Regime"
86,"Fidschi","0.575","DefizitÃ¤re Demokratie"
87,"Bosnien und Herzegowina","0.574","Hybrides Regime"
88,"Sierra Leone","0.571","Hybrides Regime"
89,"Rumänien","0.568","Hybrides Regime"
90,"Kolumbien","0.565","Hybrides Regime"
91,"Mazedonien","0.564","Hybrides Regime"
92,"Kirgisistan","0.561","Hybrides Regime"
93,"Kosovo","0.561","Hybrides Regime"
94,"Paraguay","0.555","Hybrides Regime"
95,"Malaysia","0.552","Hybrides Regime"
96,"Liberia","0.55","Hybrides Regime"
97,"Montenegro","0.542","Hybrides Regime"
98,"Singapur","0.538","Hybrides Regime"
99,"El Salvador","0.533","Hybrides Regime"
100,"Mosambik","0.512","Hybrides Regime"
101,"Marokko","0.498","Hybrides Regime"
102,"Kuwait","0.493","Hybrides Regime"
103,"Libanon","0.485","Hybrides Regime"
104,"Myanmar","0.483","Hybrides Regime"
105,"Kenia","0.483","Hybrides Regime"
106,"Serbien","0.482","Hybrides Regime"
107,"Guatemala","0.482","Hybrides Regime"
108,"Mali","0.482","Hybrides Regime"
109,"Philippinen","0.469","Hybrides Regime"
110,"Gabun","0.466","Hybrides Regime"
111,"Sambia","0.463","Hybrides Regime"
112,"Papua-Neuguinea","0.462","Hybrides Regime"
113,"Uganda","0.46","Hybrides Regime"
114,"Dominikanische Republik","0.459","Hybrides Regime"
115,"Jordanien","0.453","Hybrides Regime"
116,"Madagaskar","0.446","Hybrides Regime"
117,"Somaliland","0.441","Hybrides Regime"
118,"Irak","0.438","Hybrides Regime"
119,"Guinea-Bissau","0.426","Hybrides Regime"
120,"Ukraine","0.42","Hybrides Regime"
121,"Zentralafrikanische Republik","0.415","Hybrides Regime"
122,"Komoren","0.414","Hybrides Regime"
123,"Honduras","0.399","Autokratie"
124,"Pakistan","0.389","Hybrides Regime"
125,"Angola","0.374","Autokratie"
126,"Malediven","0.367","Hybrides Regime"
127,"Togo","0.362","Hybrides Regime"
128,"Ruanda","0.361","Hybrides Regime"
129,"Afghanistan","0.359","Hybrides Regime"
130,"Sansibar","0.341","Autokratie"
131,"Äthiopien","0.34","Autokratie"
132,"Algerien","0.339","Hybrides Regime"
133,"Guinea","0.331","Hybrides Regime"
134,"Mauretanien","0.322","Autokratie"
135,"Haiti","0.315","Autokratie"
136,"Türkei","0.315","Autokratie"
137,"Dschibuti","0.31","Autokratie"
138,"Swasiland","0.307","Autokratie"
139,"Simbabwe","0.303","Autokratie"
140,"Russland","0.284","Autokratie"
141,"Vietnam, Demokratische Republik","0.277","Autokratie"
142,"Iran","0.272","Autokratie"
143,"Weißrussland","0.27","Autokratie"
144,"Kamerun","0.265","Autokratie"
145,"Kongo, Demokratische Republik","0.263","Autokratie"
146,"Kongo, Republik","0.257","Autokratie"
147,"Oman","0.245","Autokratie"
148,"Kasachstan","0.239","Autokratie"
149,"Ägypten","0.225","Autokratie"
150,"Sudan","0.224","Autokratie"
151,"Tschad","0.204","Autokratie"
152,"Kambodscha","0.198","Autokratie"
153,"Usbekistan","0.187","Autokratie"
154,"Thailand","0.181","Autokratie"
155,"Vereinigte Arabische Emirate","0.181","Autokratie"
156,"Kuba","0.166","Autokratie"
157,"Venezuela","0.151","Autokratie"
158,"Tadschikistan","0.122","Autokratie"
159,"Aserbaidschan","0.12","Autokratie"
160,"Laos, Demokratische Volksrepublik","0.111","Autokratie"
161,"Äquatorialguinea","0.11","Autokratie"
162,"Turkmenistan","0.107","Autokratie"
163,"Korea, Demokratische Volksrepublik","0.038","Autokratie"
164,"Burundi","O","Autokratie"
165,"China","O","Autokratie"
166,"Eritrea","O","Autokratie"
167,"Libyen","O","Hybrides Regime"
168,"PalÃ¤stina/Gaza","O","Autokratie"
169,"PalÃ¤stina/Westjordanland","O","Hybrides Regime"
170,"Katar","O","Autokratie"
171,"Saudi Arabien","O","Autokratie"
172,"Somalia","O","Autokratie"
173,"Südsudan","O","Autokratie"
174,"Syrien, Arabische Republik","O","Autokratie"
175,"Jemen","O","Autokratie"
